标题,小区名称,所在区市,详细地址,总价,单价,房屋户型,房屋朝向,建筑面积,所在楼层,户型结构,建筑类型,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,详情页
双晖小区 3室1厅 东 南,双晖小区,徐汇,斜土路,1145.0,90507,3室1厅1厨2卫,东南,126.51㎡,中楼层 (共18层),平层,塔楼,精装,两梯八户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106358968.html
G60精装南北两房 高楼层 通透 采光视野好 税费少,新弘国际城(公寓),松江,莘闵别墅,385.0,43080,2室2厅1厨1卫,南,89.37㎡,高楼层 (共18层),平层,板楼,精装,两梯三户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106352606.html
内环内次新房+3.4号地铁+人车分流高品质+业主诚售！！,复地新都国际,静安,西藏北路,1260.0,124753,2室2厅1厨1卫,南,101㎡,低楼层 (共25层),平层,板楼,精装,三梯三户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106349404.html
顾村公园隔壁电梯三房  景观好  邻地铁无增值税,菊泉新城(陆翔路698弄),宝山,顾村,370.0,40500,3室1厅1厨1卫,西南,91.36㎡,高楼层 (共11层),平层,板楼,毛坯,一梯三户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106358985.html
罕见 泰晤士经典三复四带大露台 70万精装室内装有电梯,泰晤士小镇(公寓),松江,松江新城,670.0,46772,3室2厅1厨2卫,南,143.25㎡,中楼层 (共4层),复式,板楼,精装,一梯四户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106330968.html
12号线地铁口，空中别墅，临河边套，客厅主卧挑空4.5,丽水华庭,松江,莘闵别墅,810.0,54221,4室2厅1厨3卫,南北,149.39㎡,低楼层 (共4层),暂无数据,钢混结构,精装,三梯四户,叠拼,2023,商品房,别墅,满五年,共有,https://sh.lianjia.com/ershoufang/107106341523.html
近地铁，总价低，楼层好，全明户型,曹杨八村,普陀,真如,185.0,57885,1室0厅1厨1卫,南,31.96㎡,中楼层 (共6层),平层,板楼,简装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106352005.html
精装修，满五年。小区中间位置采光好，诚意出售,汇成五村,徐汇,上海南站,329.0,80049,1室1厅1厨1卫,南,41.1㎡,高楼层 (共6层),平层,板楼,精装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106356091.html
装修房 诚意出售 看房方便 采光视野好,绿地新江桥城一期,嘉定,江桥,395.0,50942,2室2厅1厨1卫,南北,77.54㎡,高楼层 (共15层),平层,板楼,精装,一梯四户,有,2023,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106351721.html
户型小+朝南带厅+中楼层+近地铁,同济新村,杨浦,鞍山,348.0,114211,2室1厅1厨1卫,南,30.47㎡,低楼层 (共2层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106355994.html
江桥万达商圈+金运路地铁口100米+商品房带电梯,缘圆宝邸,嘉定,江桥,420.0,56719,2室2厅1厨1卫,南北,74.05㎡,中楼层 (共7层),平层,板楼,精装,一梯三户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106378290.html
